,kernel,C,gamma,epsilon,Train MAPE,Val MAPE,Test MAPE,Next M MAPE,Next D MAPE,Next H MAPE
86,rbf,5,0.1,0.2,0.706124108,0.832853546,0.807136727,0.960123642,0.748142505,0.713144034
95,rbf,10,0.1,0.2,0.682188395,0.839730162,0.809362199,0.964074071,0.740900508,0.723112017
89,rbf,5,scale,0.2,0.648153314,0.847694011,0.818203992,0.976965719,0.750945967,0.726700289
98,rbf,10,scale,0.2,0.615515516,0.847967735,0.829969613,0.996548873,0.748831339,0.744528628
97,rbf,10,scale,0.1,0.573342581,0.850538587,0.827394796,0.986554957,0.748117955,0.747511476
85,rbf,5,0.1,0.1,0.683048374,0.851937254,0.80940496,0.967948484,0.740385308,0.719881089
88,rbf,5,scale,0.1,0.60926865,0.852375475,0.815815749,0.966090002,0.75576966,0.725587585
84,rbf,5,0.1,0.05,0.67138189,0.854337579,0.815314663,0.982799374,0.736469156,0.726675458
81,rbf,5,0.01,0.05,0.83329966,0.860233532,0.849406875,0.93477131,0.800361707,0.813087609
94,rbf,10,0.1,0.1,0.655538909,0.860716903,0.811582339,0.96712087,0.74173994,0.725886208
92,rbf,10,0.01,0.2,0.836804004,0.861275828,0.838861627,0.929405812,0.787390683,0.799788386
83,rbf,5,0.01,0.2,0.844071042,0.864726602,0.842034691,0.925441788,0.793665871,0.806996412
76,rbf,1,0.1,0.1,0.758233065,0.865433988,0.826322912,0.942447249,0.776243953,0.760277534
77,rbf,1,0.1,0.2,0.776600688,0.865593807,0.827045437,0.938829123,0.784730738,0.757576452
91,rbf,10,0.01,0.1,0.826351614,0.865862545,0.847779818,0.928433319,0.801057516,0.81384862
80,rbf,1,scale,0.2,0.736577428,0.866278167,0.837521638,0.957857817,0.787463918,0.767243179
90,rbf,10,0.01,0.05,0.822439612,0.86759504,0.852899308,0.941864422,0.798214637,0.818618866
82,rbf,5,0.01,0.1,0.837265518,0.871125374,0.84496873,0.927337066,0.796490449,0.811078673
75,rbf,1,0.1,0.05,0.748999816,0.871859508,0.831042021,0.951406934,0.773575496,0.768143633
96,rbf,10,scale,0.05,0.552577548,0.87213527,0.839792275,0.994959832,0.768173104,0.756243888
87,rbf,5,scale,0.05,0.592387195,0.873320665,0.828591333,0.978777806,0.767578796,0.739417398
73,rbf,1,0.01,0.1,0.862934098,0.877060358,0.853448394,0.927183164,0.801347059,0.831814959
72,rbf,1,0.01,0.05,0.858690546,0.87710827,0.853640186,0.927133919,0.807520592,0.826266047
100,rbf,100,0.01,0.1,0.777469859,0.877159139,0.834865283,0.941297513,0.776838394,0.786459944
74,rbf,1,0.01,0.2,0.873918511,0.878380985,0.856434072,0.931694477,0.802787734,0.834820005
101,rbf,100,0.01,0.2,0.79453388,0.87847545,0.819352276,0.936004554,0.773814395,0.748237879
93,rbf,10,0.1,0.05,0.641116544,0.878707797,0.81721377,0.973921033,0.745033654,0.732686625
99,rbf,100,0.01,0.05,0.769457407,0.884058228,0.852101733,0.962845847,0.785974201,0.80748515
79,rbf,1,scale,0.1,0.714668504,0.885801027,0.835769002,0.962364315,0.787104624,0.757838069
104,rbf,100,0.1,0.2,0.609320431,0.887896171,0.858179951,1.071690909,0.750282622,0.752566322
78,rbf,1,scale,0.05,0.705421955,0.897486978,0.843329246,0.967655812,0.796016617,0.766315308
68,rbf,0.5,0.1,0.2,0.816470256,0.898612799,0.848736325,0.931772357,0.82205858,0.792378038
103,rbf,100,0.1,0.1,0.563964883,0.899674292,0.874079624,1.052752162,0.784286804,0.785199906
67,rbf,0.5,0.1,0.1,0.797337316,0.899892025,0.84866441,0.932180135,0.80988437,0.803928725
71,rbf,0.5,scale,0.2,0.783941197,0.902191993,0.84772367,0.946726055,0.813405437,0.783039518
63,rbf,0.5,0.01,0.05,0.882747597,0.902804144,0.875402366,0.94022468,0.825407881,0.860574536
66,rbf,0.5,0.1,0.05,0.789667663,0.906503913,0.846701796,0.936464196,0.798722431,0.804918761
64,rbf,0.5,0.01,0.1,0.886087138,0.908035467,0.875859424,0.93867735,0.828833471,0.860067451
70,rbf,0.5,scale,0.1,0.761402485,0.911865555,0.842077736,0.944628587,0.799957341,0.78164728
102,rbf,100,0.1,0.05,0.541243639,0.914995408,0.887204381,1.051644962,0.813389165,0.796579016
29,linear,5,0.01,0.2,0.872738637,0.917021974,0.893234018,0.986610096,0.822194403,0.870897556
32,linear,5,0.1,0.2,0.872738637,0.917021974,0.893234018,0.986610096,0.822194403,0.870897556
35,linear,5,scale,0.2,0.872738637,0.917021974,0.893234018,0.986610096,0.822194403,0.870897556
38,linear,10,0.01,0.2,0.87271237,0.917080361,0.893194259,0.986563461,0.822198033,0.870821284
41,linear,10,0.1,0.2,0.87271237,0.917080361,0.893194259,0.986563461,0.822198033,0.870821284
44,linear,10,scale,0.2,0.87271237,0.917080361,0.893194259,0.986563461,0.822198033,0.870821284
65,rbf,0.5,0.01,0.2,0.90082714,0.917283845,0.880962161,0.946773799,0.833754185,0.862358497
20,linear,1,0.01,0.2,0.872660009,0.919803448,0.891459387,0.981871565,0.823412321,0.869094274
23,linear,1,0.1,0.2,0.872660009,0.919803448,0.891459387,0.981871565,0.823412321,0.869094274
26,linear,1,scale,0.2,0.872660009,0.919803448,0.891459387,0.981871565,0.823412321,0.869094274
1,linear,0.1,0.01,0.1,0.872070547,0.919986945,0.892844459,0.982779069,0.832121266,0.863633042
4,linear,0.1,0.1,0.1,0.872070547,0.919986945,0.892844459,0.982779069,0.832121266,0.863633042
7,linear,0.1,scale,0.1,0.872070547,0.919986945,0.892844459,0.982779069,0.832121266,0.863633042
47,linear,100,0.01,0.2,0.87298125,0.920563179,0.894965723,0.987345428,0.821807235,0.875744505
50,linear,100,0.1,0.2,0.87298125,0.920563179,0.894965723,0.987345428,0.821807235,0.875744505
53,linear,100,scale,0.2,0.87298125,0.920563179,0.894965723,0.987345428,0.821807235,0.875744505
11,linear,0.5,0.01,0.2,0.873089131,0.921238079,0.891216069,0.979079322,0.823961193,0.870607693
14,linear,0.5,0.1,0.2,0.873089131,0.921238079,0.891216069,0.979079322,0.823961193,0.870607693
17,linear,0.5,scale,0.2,0.873089131,0.921238079,0.891216069,0.979079322,0.823961193,0.870607693
2,linear,0.1,0.01,0.2,0.875712155,0.924835138,0.883563255,0.967459697,0.820899114,0.862330956
5,linear,0.1,0.1,0.2,0.875712155,0.924835138,0.883563255,0.967459697,0.820899114,0.862330956
8,linear,0.1,scale,0.2,0.875712155,0.924835138,0.883563255,0.967459697,0.820899114,0.862330956
69,rbf,0.5,scale,0.05,0.753826531,0.925563384,0.850102854,0.957593114,0.803269624,0.789445825
10,linear,0.5,0.01,0.1,0.869430502,0.926866697,0.900756512,0.994772173,0.834470529,0.873026835
13,linear,0.5,0.1,0.1,0.869430502,0.926866697,0.900756512,0.994772173,0.834470529,0.873026835
16,linear,0.5,scale,0.1,0.869430502,0.926866697,0.900756512,0.994772173,0.834470529,0.873026835
19,linear,1,0.01,0.1,0.869040437,0.930381249,0.902662142,0.998656353,0.834160278,0.875169796
22,linear,1,0.1,0.1,0.869040437,0.930381249,0.902662142,0.998656353,0.834160278,0.875169796
25,linear,1,scale,0.1,0.869040437,0.930381249,0.902662142,0.998656353,0.834160278,0.875169796
28,linear,5,0.01,0.1,0.868878442,0.931668557,0.903930695,1.001025734,0.833994738,0.876771613
31,linear,5,0.1,0.1,0.868878442,0.931668557,0.903930695,1.001025734,0.833994738,0.876771613
34,linear,5,scale,0.1,0.868878442,0.931668557,0.903930695,1.001025734,0.833994738,0.876771613
37,linear,10,0.01,0.1,0.868856635,0.931936523,0.903925717,1.000920043,0.834050272,0.876806834
40,linear,10,0.1,0.1,0.868856635,0.931936523,0.903925717,1.000920043,0.834050272,0.876806834
43,linear,10,scale,0.1,0.868856635,0.931936523,0.903925717,1.000920043,0.834050272,0.876806834
46,linear,100,0.01,0.1,0.86879818,0.933182837,0.903797522,1.000266361,0.834060028,0.877066177
49,linear,100,0.1,0.1,0.86879818,0.933182837,0.903797522,1.000266361,0.834060028,0.877066177
52,linear,100,scale,0.1,0.86879818,0.933182837,0.903797522,1.000266361,0.834060028,0.877066177
27,linear,5,0.01,0.05,0.866923074,0.934731063,0.908786264,1.006758708,0.836887226,0.882712859
30,linear,5,0.1,0.05,0.866923074,0.934731063,0.908786264,1.006758708,0.836887226,0.882712859
33,linear,5,scale,0.05,0.866923074,0.934731063,0.908786264,1.006758708,0.836887226,0.882712859
36,linear,10,0.01,0.05,0.866927422,0.934906027,0.908723676,1.006597748,0.83707769,0.882495591
39,linear,10,0.1,0.05,0.866927422,0.934906027,0.908723676,1.006597748,0.83707769,0.882495591
42,linear,10,scale,0.05,0.866927422,0.934906027,0.908723676,1.006597748,0.83707769,0.882495591
45,linear,100,0.01,0.05,0.866911767,0.935620934,0.908889155,1.006938904,0.837467424,0.882261137
48,linear,100,0.1,0.05,0.866911767,0.935620934,0.908889155,1.006938904,0.837467424,0.882261137
51,linear,100,scale,0.05,0.866911767,0.935620934,0.908889155,1.006938904,0.837467424,0.882261137
18,linear,1,0.01,0.05,0.86752067,0.935773099,0.905265842,1.002338182,0.842496964,0.87096238
21,linear,1,0.1,0.05,0.86752067,0.935773099,0.905265842,1.002338182,0.842496964,0.87096238
24,linear,1,scale,0.05,0.86752067,0.935773099,0.905265842,1.002338182,0.842496964,0.87096238
0,linear,0.1,0.01,0.05,0.870005835,0.936550438,0.901581631,0.988119175,0.850484886,0.866140832
3,linear,0.1,0.1,0.05,0.870005835,0.936550438,0.901581631,0.988119175,0.850484886,0.866140832
6,linear,0.1,scale,0.05,0.870005835,0.936550438,0.901581631,0.988119175,0.850484886,0.866140832
9,linear,0.5,0.01,0.05,0.867582063,0.938334411,0.903674544,0.999952076,0.843605286,0.86746627
12,linear,0.5,0.1,0.05,0.867582063,0.938334411,0.903674544,0.999952076,0.843605286,0.86746627
15,linear,0.5,scale,0.05,0.867582063,0.938334411,0.903674544,0.999952076,0.843605286,0.86746627
58,rbf,0.1,0.1,0.1,0.901261708,0.972829657,0.915215859,0.956769835,0.890497536,0.898380207
59,rbf,0.1,0.1,0.2,0.919238867,0.973227973,0.92290945,0.966096917,0.905633776,0.896997657
57,rbf,0.1,0.1,0.05,0.898709895,0.973943673,0.91944366,0.962151766,0.896144041,0.900035173
106,rbf,100,scale,0.1,0.461322076,0.97730629,0.960489486,1.145758129,0.897678275,0.838032055
61,rbf,0.1,scale,0.1,0.895649555,0.987085525,0.927916495,1.004495159,0.885880412,0.893373916
60,rbf,0.1,scale,0.05,0.892849463,0.988351681,0.930328657,1.012635172,0.883288191,0.895062607
107,rbf,100,scale,0.2,0.530425968,0.997531861,0.952799726,1.152340698,0.884104768,0.821953712
62,rbf,0.1,scale,0.2,0.916923804,0.997670566,0.938707007,1.007452694,0.908853508,0.89981482
105,rbf,100,scale,0.05,0.426753603,0.998388011,0.977471537,1.173656516,0.902818432,0.855939663
55,rbf,0.1,0.01,0.1,1.15936352,1.161114784,1.122570146,1.171604223,1.070419216,1.125687001
54,rbf,0.1,0.01,0.05,1.156294041,1.1619023,1.122340941,1.171506851,1.071245127,1.124270844
56,rbf,0.1,0.01,0.2,1.162236944,1.163845148,1.123485826,1.179093714,1.075454184,1.115909581
